postionType,postionLocation,positionName,postionNumber,postionLink,publishDate
2017-11-24,position_detail.php?id=34513&keywords=&tid=0&lid=0,上海,1,技术类,20503-并行计算高级工程师（上海）
2017-11-24,position_detail.php?id=34510&keywords=&tid=0&lid=0,深圳,2,技术类,21309-在线教育PC客户端开发工程师（深圳）
2017-11-24,position_detail.php?id=34508&keywords=&tid=0&lid=0,成都,3,产品/项目类,22989-腾讯云数据库产品经理（成都/北京/深圳）
2017-11-24,position_detail.php?id=33185&keywords=&tid=0&lid=0,深圳,1,职能类,IEG-培训主管（深圳）
2017-11-24,position_detail.php?id=29318&keywords=&tid=0&lid=0,深圳,2,产品/项目类,SA-腾讯社交广告电商广告产品运营经理（深圳）
2017-11-24,position_detail.php?id=32526&keywords=&tid=0&lid=0,深圳,1,产品/项目类,21227-产品优化及本地化
2017-11-24,position_detail.php?id=32527&keywords=&tid=0&lid=0,深圳,1,产品/项目类,21227-移动游戏版本管理（深圳）
2017-11-24,position_detail.php?id=32520&keywords=&tid=0&lid=0,深圳,1,技术类,18436-金融数据挖掘专家
2017-11-24,position_detail.php?id=24511&keywords=&tid=0&lid=0,上海,1,产品/项目类,SA-腾讯社交广告产品拓展和运营经理（生态平台业务）
2017-11-24,position_detail.php?id=32540&keywords=&tid=0&lid=0,深圳,1,产品/项目类,MIG18-应用宝平台游戏运营经理（深圳）
2017-11-24,position_detail.php?id=30693&keywords=&tid=0&lid=0,深圳,1,产品/项目类,21229-游戏商业化运营（深圳）
2017-11-24,position_detail.php?id=31797&keywords=&tid=0&lid=0,北京,1,产品/项目类,23671-平台产品经理（北京）
2017-11-24,position_detail.php?id=30069&keywords=&tid=0&lid=0,深圳,2,技术类,SNG16-腾讯音乐IOS开发工程师（深圳）
2017-11-24,position_detail.php?id=30695&keywords=&tid=0&lid=0,深圳,1,产品/项目类,SNG16-腾讯音乐项目经理（深圳）
2017-11-24,position_detail.php?id=32510&keywords=&tid=0&lid=0,深圳,1,产品/项目类,21309-企鹅辅导高级学科教研老师
2017-11-24,position_detail.php?id=32521&keywords=&tid=0&lid=0,深圳,1,职能类,21645-腾讯互联网金融高级法律顾问（跨境支付方向）
2017-11-24,position_detail.php?id=31793&keywords=&tid=0&lid=0,深圳,2,市场类,SA-腾讯社交广告SMB区域业务拓展经理（深圳）
2017-11-24,position_detail.php?id=31796&keywords=&tid=0&lid=0,深圳,1,设计类,SA-腾讯社交广告视觉设计师（深圳）
2017-11-24,position_detail.php?id=32472&keywords=&tid=0&lid=0,北京,1,技术类,22989-视频云技术工程师（北京）
2017-11-24,position_detail.php?id=32474&keywords=&tid=0&lid=0,北京,1,技术类,22989-400备案组Leader（北京）
2017-11-24,position_detail.php?id=32493&keywords=&tid=0&lid=0,深圳,1,技术类,22989-视频云技术工程师（深圳）
2017-11-24,position_detail.php?id=26969&keywords=&tid=0&lid=0,深圳,1,市场类,17467-高级品牌经理（深圳）
2017-11-24,position_detail.php?id=32504&keywords=&tid=0&lid=0,上海,1,设计类,15573-SLG手游3D角色设计师（上海）
2017-11-23,position_detail.php?id=34509&keywords=&tid=0&lid=0,北京,1,市场类,MIG05-地图高级品牌经理（北京）
2017-11-23,position_detail.php?id=30189&keywords=&tid=0&lid=0,广州,1,技术类,25187-116 企业微信测试开发工程师（广州）
2017-11-23,position_detail.php?id=33787&keywords=&tid=0&lid=0,广州,1,设计类,25187-411 企业微信视觉设计师（广州）
2017-11-23,position_detail.php?id=26701&keywords=&tid=0&lid=0,深圳,10,技术类,21309-在线教育高级web前端开发工程师（深圳）
2017-11-23,position_detail.php?id=34501&keywords=&tid=0&lid=0,深圳,1,设计类,15570-御龙在天美术3D角色设计师（深圳）
2017-11-23,position_detail.php?id=33947&keywords=&tid=0&lid=0,成都,3,产品/项目类,22989-智慧零售业务中心项目经理（成都/上海/深圳）
2017-11-23,position_detail.php?id=33920&keywords=&tid=0&lid=0,成都,4,技术类,22989-腾讯云工业行业企业架构师（北京/上海/深圳/成都）
2017-11-23,position_detail.php?id=33505&keywords=&tid=0&lid=0,成都,3,技术类,22989-智慧零售行业企业架构师（北京/上海/深圳/成都）
2017-11-23,position_detail.php?id=33408&keywords=&tid=0&lid=0,成都,2,产品/项目类,22989-智慧零售行业产品经理（北京/上海/深圳/成都）
2017-11-23,position_detail.php?id=34507&keywords=&tid=0&lid=0,北京,1,市场类,OMG08-事件营销高级经理
2017-11-23,position_detail.php?id=33587&keywords=&tid=0&lid=0,北京,1,市场类,OMG08-广告产品市场经理（北京）
2017-11-23,position_detail.php?id=34504&keywords=&tid=0&lid=0,香港,1,职能类,S2-海外税务管理专家
2017-11-23,position_detail.php?id=34499&keywords=&tid=0&lid=0,成都,1,产品/项目类,15575-《王者荣耀》资深系统策划（成都）
2017-11-23,position_detail.php?id=31779&keywords=&tid=0&lid=0,深圳,5,职能类,RL-平台运营组招聘经理（深圳）
2017-11-23,position_detail.php?id=28278&keywords=&tid=0&lid=0,广州,1,技术类,WXG08-121 微信商业数据分析工程师（广州）
2017-11-23,position_detail.php?id=32438&keywords=&tid=0&lid=0,深圳,1,技术类,MIG12-高级数据分析师（深圳）
2017-11-23,position_detail.php?id=33853&keywords=&tid=0&lid=0,成都,3,技术类,22989-腾讯云交通能源行业架构师（深圳/北京/成都/上海）
2017-11-23,position_detail.php?id=33423&keywords=&tid=0&lid=0,深圳,1,技术类,22989-腾讯云交通能源行业后台开发工程师（深圳）
2017-11-23,position_detail.php?id=34496&keywords=&tid=0&lid=0,深圳,2,市场类,18797-Strategy Analysis Manager（shenzhen)
2017-11-23,position_detail.php?id=34495&keywords=&tid=0&lid=0,深圳,2,产品/项目类,18797-开发者生态运营经理(深圳）
2017-11-23,position_detail.php?id=33182&keywords=&tid=0&lid=0,深圳,2,技术类,TEG13-数据分析工程师（深圳）
2017-11-23,position_detail.php?id=33527&keywords=&tid=0&lid=0,大连,1,技术类,MIG03-前端开发工程师（大连）
2017-11-23,position_detail.php?id=34492&keywords=&tid=0&lid=0,上海,1,技术类,20503-优图系统测试工程师（上海）
2017-11-23,position_detail.php?id=34491&keywords=&tid=0&lid=0,深圳,1,产品/项目类,21309-自研课程营销经理（深圳）
2017-11-23,position_detail.php?id=34488&keywords=&tid=0&lid=0,北京,1,设计类,22852-演播技术三维建模设计师（北京）
2017-11-23,position_detail.php?id=31427&keywords=&tid=0&lid=0,深圳,2,技术类,SA-腾讯社交广告后台开发工程师（深圳）
2017-11-23,position_detail.php?id=34487&keywords=&tid=0&lid=0,深圳,1,产品/项目类,SNG16-全民K歌视频产品策划（深圳）
2017-11-23,position_detail.php?id=34484&keywords=&tid=0&lid=0,深圳,1,产品/项目类,SA-腾讯社交广告策略产品经理微信方向（深圳）
2017-11-23,position_detail.php?id=32455&keywords=&tid=0&lid=0,上海,1,设计类,HY1-次世代游戏原画设计师（上海）
2017-11-23,position_detail.php?id=32458&keywords=&tid=0&lid=0,深圳,1,技术类,HY1-游戏分析大数据平台高级架构师（深圳）
2017-11-23,position_detail.php?id=31768&keywords=&tid=0&lid=0,北京,1,市场类,22968-华北食品饮料行业销售经理
2017-11-23,position_detail.php?id=34145&keywords=&tid=0&lid=0,北京,1,设计类,SA-腾讯社交广告交互设计师（北京）
2017-11-23,position_detail.php?id=33271&keywords=&tid=0&lid=0,深圳,1,产品/项目类,SA-腾讯社交广告微信广告产品策划经理（深圳）
2017-11-23,position_detail.php?id=33269&keywords=&tid=0&lid=0,深圳,1,产品/项目类,SA-腾讯社交广告微信流量生态平台合作运营经理（深圳）
2017-11-23,position_detail.php?id=28222&keywords=&tid=0&lid=0,深圳,1,产品/项目类,SA-腾讯社交广告微信流量游戏行业运营经理（深圳）
