postionType,postionLocation,positionName,postionNumber,postionLink,publishDate
2017-11-20,position_detail.php?id=34424&keywords=&tid=0&lid=0,深圳,1,产品/项目类,24111-项目经理
2017-11-20,position_detail.php?id=31339&keywords=&tid=0&lid=0,上海,2,市场类,22990-游戏云商务拓展（上海）
2017-11-20,position_detail.php?id=21154&keywords=&tid=0&lid=0,深圳,4,技术类,TEG05-高级数据运营工程师（深圳）
2017-11-20,position_detail.php?id=29733&keywords=&tid=0&lid=0,广州,1,职能类,MIG01-部门秘书（广州）
2017-11-20,position_detail.php?id=32770&keywords=&tid=0&lid=0,深圳,1,设计类,15571-资深3D角色设计师（深圳）
2017-11-20,position_detail.php?id=31159&keywords=&tid=0&lid=0,北京,2,技术类,OMG236-腾讯视频推荐算法高级工程师（北京）
2017-11-20,position_detail.php?id=27525&keywords=&tid=0&lid=0,深圳,1,技术类,HY2-大数据运维工程师（深圳）
2017-11-20,position_detail.php?id=34414&keywords=&tid=0&lid=0,深圳,3,技术类,TEG07-PHP开发工程师（深圳）
2017-11-20,position_detail.php?id=34412&keywords=&tid=0&lid=0,深圳,5,技术类,WXG06-114 微信支付应用开发工程师（深圳）
2017-11-20,position_detail.php?id=34409&keywords=&tid=0&lid=0,深圳,1,产品/项目类,15573-手游系统与关卡策划（深圳）
2017-11-20,position_detail.php?id=34407&keywords=&tid=0&lid=0,深圳,1,设计类,23296-互娱创意指导（深圳）
2017-11-20,position_detail.php?id=34400&keywords=&tid=0&lid=0,深圳,1,职能类,ZSC-Overseas Intellectual Property (IP) Counsel
2017-11-20,position_detail.php?id=34399&keywords=&tid=0&lid=0,北京,1,职能类,20764-高级政务经理（医疗方向）
2017-11-20,position_detail.php?id=31094&keywords=&tid=0&lid=0,深圳,2,技术类,MIG07-安全技术高级工程师（深圳）
2017-11-20,position_detail.php?id=33076&keywords=&tid=0&lid=0,深圳,1,技术类,MIG07-电脑管家后台开发工程师（深圳）
2017-11-20,position_detail.php?id=32327&keywords=&tid=0&lid=0,上海,1,设计类,21062-资深AAA游戏美术指导（上海）
2017-11-20,position_detail.php?id=34405&keywords=&tid=0&lid=0,深圳,1,市场类,HY5-互娱欧美商务经理（欧美重点客户）
2017-11-20,position_detail.php?id=27286&keywords=&tid=0&lid=0,深圳,2,产品/项目类,TEG10-高级运营经理（深圳）
2017-11-20,position_detail.php?id=31695&keywords=&tid=0&lid=0,深圳,1,技术类,TEG02-光模块测试工程师（深圳）
2017-11-20,position_detail.php?id=31704&keywords=&tid=0&lid=0,深圳,2,技术类,TEG06-企业安全后台开发工程师（深圳）
2017-11-20,position_detail.php?id=33099&keywords=&tid=0&lid=0,深圳,2,产品/项目类,22989-腾讯云资质认证项目经理（深圳）
2017-11-20,position_detail.php?id=29478&keywords=&tid=0&lid=0,深圳,1,技术类,SNG04-推荐工程师（深圳）
2017-11-20,position_detail.php?id=29489&keywords=&tid=0&lid=0,深圳,1,技术类,TEG13-接入后台开发工程师（深圳）
2017-11-20,position_detail.php?id=26520&keywords=&tid=0&lid=0,深圳,1,技术类,MIG03-腾讯Android开发工程师（深圳）
2017-11-20,position_detail.php?id=31734&keywords=&tid=0&lid=0,成都,1,产品/项目类,15575-《王者荣耀》IP运营项目经理（成都）
2017-11-20,position_detail.php?id=34402&keywords=&tid=0&lid=0,北京,2,技术类,23674-Android开发工程师（北京）
2017-11-19,position_detail.php?id=28138&keywords=&tid=0&lid=0,深圳,1,产品/项目类,OMG236-腾讯视频TV产品经理（深圳）
2017-11-19,position_detail.php?id=29433&keywords=&tid=0&lid=0,深圳,2,产品/项目类,SA-腾讯社交广告KA效果广告行业运营经理（深圳）
2017-11-19,position_detail.php?id=31143&keywords=&tid=0&lid=0,深圳,1,技术类,TEG11-自然语言处理工程师（深圳）
2017-11-19,position_detail.php?id=28768&keywords=&tid=0&lid=0,深圳,2,产品/项目类,SA-腾讯社交广告KA效果广告产品运营经理（深圳）
2017-11-19,position_detail.php?id=31712&keywords=&tid=0&lid=0,北京,1,产品/项目类,SA-腾讯社交广告数据应用产品经理（北京）
2017-11-19,position_detail.php?id=29450&keywords=&tid=0&lid=0,深圳,2,产品/项目类,23518-移动游戏渠道运营经理（微信）
2017-11-19,position_detail.php?id=28786&keywords=&tid=0&lid=0,深圳,3,市场类,23516-战略规划/市场分析经理（深圳）
2017-11-19,position_detail.php?id=31711&keywords=&tid=0&lid=0,深圳,1,职能类,HY-高管秘书（深圳）
2017-11-19,position_detail.php?id=31133&keywords=&tid=0&lid=0,北京,1,技术类,22989-高级图像处理算法工程师（北京）
2017-11-19,position_detail.php?id=33090&keywords=&tid=0&lid=0,深圳,2,产品/项目类,22989-腾讯云流量运营经理（深圳）Hot!
2017-11-19,position_detail.php?id=31709&keywords=&tid=0&lid=0,深圳,1,产品/项目类,22989-金融合规建设项目经理（深圳）
2017-11-19,position_detail.php?id=30025&keywords=&tid=0&lid=0,深圳,1,职能类,9615-CDG高级秘书（深圳）
2017-11-19,position_detail.php?id=31084&keywords=&tid=0&lid=0,深圳,1,技术类,MIG12-数据平台后台开发工程师（深圳）
2017-11-19,position_detail.php?id=31724&keywords=&tid=0&lid=0,深圳,2,产品/项目类,MIG18-青腾大学课程架构经理（深圳）
2017-11-19,position_detail.php?id=24726&keywords=&tid=0&lid=0,深圳,2,设计类,19823-动画电影分镜师（深圳）
2017-11-19,position_detail.php?id=31647&keywords=&tid=0&lid=0,北京,2,产品/项目类,19823-动漫IP经理
2017-11-19,position_detail.php?id=32358&keywords=&tid=0&lid=0,北京,1,设计类,19837-海报设计师
2017-11-18,position_detail.php?id=32356&keywords=&tid=0&lid=0,深圳,1,职能类,CB-薪酬专家[长期激励方向（深圳）
2017-11-18,position_detail.php?id=32359&keywords=&tid=0&lid=0,深圳,1,职能类,RL-组织发展经理（深圳）
2017-11-18,position_detail.php?id=31076&keywords=&tid=0&lid=0,北京,3,技术类,23671-高级后台开发工程师（北京）
2017-11-18,position_detail.php?id=31078&keywords=&tid=0&lid=0,北京,1,技术类,23671-高级前端开发工程师(北京）
2017-11-18,position_detail.php?id=33827&keywords=&tid=0&lid=0,深圳,1,技术类,22989-金融云售中架构师leader（深圳）
2017-11-18,position_detail.php?id=33825&keywords=&tid=0&lid=0,深圳,1,技术类,22989-金融云互联网金融售前架构师（深圳/北京/上海）
2017-11-18,position_detail.php?id=34068&keywords=&tid=0&lid=0,深圳,1,产品/项目类,22989-金融云金融科技产品经理（深圳）
2017-11-18,position_detail.php?id=34133&keywords=&tid=0&lid=0,深圳,2,技术类,22989-金融云后台开发工程师（深圳）
2017-11-18,position_detail.php?id=34139&keywords=&tid=0&lid=0,上海,2,技术类,22989-金融云售前架构师（上海）
2017-11-18,position_detail.php?id=31684&keywords=&tid=0&lid=0,深圳,2,技术类,MIG03-AI数据处理工程师（深圳）
2017-11-18,position_detail.php?id=27778&keywords=&tid=0&lid=0,深圳,1,技术类,18435-境外合规管理及审核岗
2017-11-18,position_detail.php?id=26620&keywords=&tid=0&lid=0,深圳,1,产品/项目类,21227-MMO回合制本地化策划/数值策划（深圳）
2017-11-18,position_detail.php?id=31106&keywords=&tid=0&lid=0,上海,2,市场类,22989-企点电话销售高级经理（上海）
2017-11-18,position_detail.php?id=30011&keywords=&tid=0&lid=0,上海,1,技术类,22990-腾讯云渠道架构师（上海）
2017-11-18,position_detail.php?id=30614&keywords=&tid=0&lid=0,深圳,1,产品/项目类,22989-腾讯云行业运营经理
2017-11-18,position_detail.php?id=30616&keywords=&tid=0&lid=0,深圳,1,技术类,22989-腾讯云存储web前端开发（深圳）
2017-11-18,position_detail.php?id=29937&keywords=&tid=0&lid=0,深圳,1,技术类,22989-腾讯云网站服务后台开发高级工程师（深圳）
2017-11-18,position_detail.php?id=29947&keywords=&tid=0&lid=0,深圳,1,产品/项目类,22989-金融行业专有云产品经理（深圳）
2017-11-18,position_detail.php?id=29954&keywords=&tid=0&lid=0,深圳,1,技术类,22989-金融云web前端高级开发
2017-11-18,position_detail.php?id=29976&keywords=&tid=0&lid=0,深圳,1,产品/项目类,22989-腾讯云社区产品经理（深圳）
2017-11-18,position_detail.php?id=29434&keywords=&tid=0&lid=0,北京,2,产品/项目类,SA-腾讯社交广告KA效果广告行业运营经理（北京）
2017-11-18,position_detail.php?id=31079&keywords=&tid=0&lid=0,北京,1,技术类,MIG16-地图数据机器学习算法高级研发工程师（北京）
2017-11-18,position_detail.php?id=27828&keywords=&tid=0&lid=0,深圳,3,技术类,TEG03-机器学习和数据挖掘工程师（深圳）
2017-11-18,position_detail.php?id=31086&keywords=&tid=0&lid=0,深圳,1,技术类,MIG12-用户画像挖掘工程师(深圳)
2017-11-18,position_detail.php?id=30600&keywords=&tid=0&lid=0,深圳,2,,22990-腾讯云高级传播经理（深圳）
2017-11-18,position_detail.php?id=31108&keywords=&tid=0&lid=0,成都,1,产品/项目类,MIG09-QQ浏览器漫画专区高级运营经理
2017-11-18,position_detail.php?id=29977&keywords=&tid=0&lid=0,深圳,3,市场类,22990-互联网+业务拓展
2017-11-18,position_detail.php?id=29978&keywords=&tid=0&lid=0,北京,3,市场类,22990-互联网+业务拓展
2017-11-17,position_detail.php?id=34398&keywords=&tid=0&lid=0,深圳,1,设计类,18425-视觉设计师
2017-11-17,position_detail.php?id=32505&keywords=&tid=0&lid=0,上海,2,设计类,15573-SLG手游3D动画特效设计师（上海）
2017-11-17,position_detail.php?id=34393&keywords=&tid=0&lid=0,深圳,1,产品/项目类,18425-基础支付产品策划经理
2017-11-17,position_detail.php?id=34391&keywords=&tid=0&lid=0,深圳,1,产品/项目类,18425-微信国际支付产品策划经理
2017-11-17,position_detail.php?id=34198&keywords=&tid=0&lid=0,上海,1,技术类,SNG07-天天P图系统测试工程师
2017-11-17,position_detail.php?id=34200&keywords=&tid=0&lid=0,上海,1,技术类,SNG07-看点系统测试工程师（上海）
2017-11-17,position_detail.php?id=33910&keywords=&tid=0&lid=0,深圳,2,技术类,HY1-数据分析工程师（深圳）
2017-11-17,position_detail.php?id=34383&keywords=&tid=0&lid=0,上海,1,技术类,HY1-测试开发高级工程师（上海）
2017-11-17,position_detail.php?id=34382&keywords=&tid=0&lid=0,深圳,1,技术类,HY1-沙盒类手游技术美术（深圳）
2017-11-17,position_detail.php?id=32344&keywords=&tid=0&lid=0,成都,1,设计类,15575-《王者荣耀》品牌视觉设计师（成都）
2017-11-17,position_detail.php?id=27768&keywords=&tid=0&lid=0,深圳,2,技术类,SNG03-互动视频高级web前端开发工程师（深圳）
2017-11-17,position_detail.php?id=30299&keywords=&tid=0&lid=0,深圳,1,产品/项目类,SNG01-手机QQ-AR运营策划经理（深圳）
2017-11-17,position_detail.php?id=29848&keywords=&tid=0&lid=0,深圳,1,产品/项目类,18402-移动游戏数据分析
2017-11-17,position_detail.php?id=30398&keywords=&tid=0&lid=0,深圳,1,产品/项目类,23518-数据分析产品经理
2017-11-17,position_detail.php?id=30535&keywords=&tid=0&lid=0,深圳,1,产品/项目类,18402-用户管理&数据分析
2017-11-17,position_detail.php?id=29842&keywords=&tid=0&lid=0,深圳,2,产品/项目类,18402-移动游戏平台合作
2017-11-17,position_detail.php?id=29759&keywords=&tid=0&lid=0,深圳,1,产品/项目类,23518-渠道合作产品经理
2017-11-17,position_detail.php?id=34384&keywords=&tid=0&lid=0,深圳,2,技术类,24111-前端开发工程师
2017-11-17,position_detail.php?id=29414&keywords=&tid=0&lid=0,深圳,1,技术类,HY2-云计算开发工程师（深圳）
2017-11-17,position_detail.php?id=27765&keywords=&tid=0&lid=0,深圳,2,技术类,23294-互娱Web应用工程师(深圳)
2017-11-17,position_detail.php?id=34380&keywords=&tid=0&lid=0,深圳,1,产品/项目类,SNG16-QQ音乐粉丝社区运营经理（深圳）
2017-11-17,position_detail.php?id=34378&keywords=&tid=0&lid=0,深圳,1,产品/项目类,SNG16-QQ音乐数字专辑运营（深圳）
2017-11-17,position_detail.php?id=32331&keywords=&tid=0&lid=0,上海,1,设计类,21062-资深AAA游戏关卡设计师（上海）
2017-11-17,position_detail.php?id=32328&keywords=&tid=0&lid=0,上海,1,技术类,21062-资深Unreal游戏逻辑工程师（上海）
2017-11-17,position_detail.php?id=30457&keywords=&tid=0&lid=0,深圳,1,职能类,RL-组织发展高级经理（干部管理）(深圳)
2017-11-17,position_detail.php?id=29924&keywords=&tid=0&lid=0,深圳,1,技术类,17520-U3D手游客户端开发工程师(深圳)
2017-11-17,position_detail.php?id=33062&keywords=&tid=0&lid=0,深圳,2,设计类,24111-视觉设计师
2017-11-17,position_detail.php?id=32322&keywords=&tid=0&lid=0,深圳,1,职能类,S2-支付基础平台及金融应用线财务管理 (深圳)
2017-11-17,position_detail.php?id=31665&keywords=&tid=0&lid=0,深圳,1,技术类,MIG03-移动端测试开发工程师（深圳）
2017-11-17,position_detail.php?id=32342&keywords=&tid=0&lid=0,深圳,1,产品/项目类,18428-支付平台产品经理
2017-11-17,position_detail.php?id=27785&keywords=&tid=0&lid=0,深圳,3,技术类,18435-财付通高级风险分析师（深圳）
2017-11-17,position_detail.php?id=27783&keywords=&tid=0&lid=0,成都,2,技术类,18435-商户审核岗（成都）
2017-11-17,position_detail.php?id=30087&keywords=&tid=0&lid=0,深圳,1,技术类,MIG09-资讯大数据应用开发工程师
2017-11-17,position_detail.php?id=32338&keywords=&tid=0&lid=0,广州,1,技术类,WXG02-112 微信运营开发高级工程师（广州）
2017-11-17,position_detail.php?id=32330&keywords=&tid=0&lid=0,上海,1,产品/项目类,21062-资深AAA游戏关卡策划（上海）
2017-11-17,position_detail.php?id=27791&keywords=&tid=0&lid=0,广州,1,技术类,WXG04-111 微信游戏数据分析工程师（深圳、广州）
2017-11-17,position_detail.php?id=32290&keywords=&tid=0&lid=0,深圳,1,技术类,MIG06-前端开发工程师（深圳）
2017-11-16,position_detail.php?id=34372&keywords=&tid=0&lid=0,深圳,1,产品/项目类,MIG06-应用宝行业商务经理（深圳）
2017-11-16,position_detail.php?id=34370&keywords=&tid=0&lid=0,深圳,2,技术类,MIG06-搜索算法工程师（深圳）
2017-11-16,position_detail.php?id=33936&keywords=&tid=0&lid=0,上海,2,设计类,SNG08-社交平台部-ISUX-天天P图项目组-视觉设计师（上海）
2017-11-16,position_detail.php?id=34367&keywords=&tid=0&lid=0,成都,1,设计类,15575-《王者荣耀》高级交互设计师（成都）
2017-11-16,position_detail.php?id=34361&keywords=&tid=0&lid=0,上海,1,设计类,15573-MMOG手游交互设计师(上海)
2017-11-16,position_detail.php?id=34359&keywords=&tid=0&lid=0,深圳,1,技术类,HY2-高级客户端开发工程师（深圳）
2017-11-16,position_detail.php?id=34356&keywords=&tid=0&lid=0,上海,1,产品/项目类,24987-移动游戏产品运营经理（上海）
2017-11-16,position_detail.php?id=34355&keywords=&tid=0&lid=0,上海,1,产品/项目类,24987-移动游戏数据分析运营（上海）
2017-11-16,position_detail.php?id=34354&keywords=&tid=0&lid=0,深圳,1,客户服务类,HY2-大客户管家（深圳）
2017-11-16,position_detail.php?id=34351&keywords=&tid=0&lid=0,深圳,1,技术类,HY2-安卓开发工程师（深圳）
2017-11-16,position_detail.php?id=34349&keywords=&tid=0&lid=0,深圳,1,产品/项目类,HY2-大客户服务产品运营（深圳）
2017-11-16,position_detail.php?id=34344&keywords=&tid=0&lid=0,深圳,1,市场类,22990-腾讯云市场经理（深圳）
2017-11-16,position_detail.php?id=34342&keywords=&tid=0&lid=0,上海,1,技术类,SNG02-腾讯云汽车行业方案架构师（北京/上海/深圳）
2017-11-16,position_detail.php?id=34340&keywords=&tid=0&lid=0,深圳,1,技术类,SNG02-腾讯云汽车行业方案架构师（北京/上海/深圳）
2017-11-16,position_detail.php?id=34366&keywords=&tid=0&lid=0,深圳,1,职能类,21530-腾讯音乐招聘经理(深圳)
2017-11-16,position_detail.php?id=34363&keywords=&tid=0&lid=0,深圳,1,市场类,MIG05-医疗产品高级品牌经理（深圳）
2017-11-16,position_detail.php?id=29909&keywords=&tid=0&lid=0,深圳,1,技术类,MIG07-电脑管家客户端开发工程师（深圳）
2017-11-16,position_detail.php?id=33562&keywords=&tid=0&lid=0,深圳,1,产品/项目类,18425-清算产品经理
2017-11-16,position_detail.php?id=33563&keywords=&tid=0&lid=0,深圳,1,产品/项目类,18425-国际支付产品策划经理
2017-11-16,position_detail.php?id=33567&keywords=&tid=0&lid=0,深圳,1,产品/项目类,18432-微黄金产品经理
2017-11-16,position_detail.php?id=33758&keywords=&tid=0&lid=0,深圳,1,产品/项目类,18425-产品运营经理
2017-11-16,position_detail.php?id=33955&keywords=&tid=0&lid=0,深圳,1,产品/项目类,18425-乘车码产品运营经理
2017-11-16,position_detail.php?id=28731&keywords=&tid=0&lid=0,深圳,1,技术类,OMG236-腾讯视频android高级工程师（深圳）
2017-11-16,position_detail.php?id=28722&keywords=&tid=0&lid=0,深圳,1,技术类,OMG236-视频推荐后台开发工程师（深圳）
2017-11-16,position_detail.php?id=28718&keywords=&tid=0&lid=0,北京,1,技术类,OMG236-视频推荐算法工程师(北京)
2017-11-16,position_detail.php?id=34269&keywords=&tid=0&lid=0,深圳,1,设计类,18428-交互设计师
2017-11-16,position_detail.php?id=34347&keywords=&tid=0&lid=0,深圳,1,设计类,TEG01-交互设计师（深圳）
2017-11-16,position_detail.php?id=34343&keywords=&tid=0&lid=0,深圳,2,技术类,SNG16-推荐算法工程师（深圳）
2017-11-16,position_detail.php?id=34037&keywords=&tid=0&lid=0,深圳,1,设计类,15602-动画分镜设计（深圳）
2017-11-16,position_detail.php?id=32297&keywords=&tid=0&lid=0,上海,1,市场类,OMG192-腾讯广告华东媒介专员（上海）
2017-11-16,position_detail.php?id=34211&keywords=&tid=0&lid=0,上海,3,技术类,22989-广告/营销云（高级）工程师（上海）
2017-11-16,position_detail.php?id=33069&keywords=&tid=0&lid=0,深圳,2,产品/项目类,18402-移动游戏本地化&商业化活动策划
2017-11-16,position_detail.php?id=34293&keywords=&tid=0&lid=0,上海,2,技术类,20503-智能商超研发工程师（上海）
2017-11-16,position_detail.php?id=33050&keywords=&tid=0&lid=0,深圳,1,市场类,23292-穿越火线品牌经理（深圳）
2017-11-16,position_detail.php?id=29918&keywords=&tid=0&lid=0,上海,1,市场类,23293-互娱品牌经理(上海)
2017-11-16,position_detail.php?id=33070&keywords=&tid=0&lid=0,广州,1,市场类,OMG193-KA营销策划经理
2017-11-16,position_detail.php?id=34335&keywords=&tid=0&lid=0,北京,4,产品/项目类,20772-自制综艺节目制片人（北京）
2017-11-16,position_detail.php?id=34333&keywords=&tid=0&lid=0,北京,3,产品/项目类,20772-企鹅影视天机工作室制片人（北京）
2017-11-16,position_detail.php?id=29913&keywords=&tid=0&lid=0,北京,2,技术类,OMG097-数据挖掘工程师(北京）
2017-11-16,position_detail.php?id=32312&keywords=&tid=0&lid=0,深圳,1,产品/项目类,MIG06-硬件项目经理（深圳）
2017-11-16,position_detail.php?id=32984&keywords=&tid=0&lid=0,深圳,1,产品/项目类,SNG08-渠道运营管理经理（深圳）
2017-11-16,position_detail.php?id=31636&keywords=&tid=0&lid=0,深圳,1,技术类,22989-腾讯云接入层运维工程师（深圳）
2017-11-16,position_detail.php?id=32306&keywords=&tid=0&lid=0,深圳,2,技术类,22989-腾讯云高级工程师
2017-11-16,position_detail.php?id=31639&keywords=&tid=0&lid=0,深圳,1,产品/项目类,WXG04-212 微信游戏产品策划经理
2017-11-16,position_detail.php?id=32245&keywords=&tid=0&lid=0,深圳,1,市场类,SNG06-鹅漫U品动漫IP商务经理（深圳）
2017-11-16,position_detail.php?id=32299&keywords=&tid=0&lid=0,北京,5,技术类,17757-后台开发工程师（北京）
2017-11-16,position_detail.php?id=33043&keywords=&tid=0&lid=0,深圳,1,产品/项目类,HY2-玩家线下活动产品运营（深圳）
2017-11-16,position_detail.php?id=28681&keywords=&tid=0&lid=0,上海,1,产品/项目类,21089-英雄联盟赛事生态运营（上海）
2017-11-16,position_detail.php?id=30509&keywords=&tid=0&lid=0,深圳,1,技术类,HY2-游戏AI高级算法工程师（深圳）
2017-11-16,position_detail.php?id=32317&keywords=&tid=0&lid=0,深圳,1,产品/项目类,21089-英雄联盟高级游戏运营经理(深圳)
2017-11-16,position_detail.php?id=32319&keywords=&tid=0&lid=0,深圳,1,产品/项目类,21089-英雄联盟内外合作与市场推广(深圳)
2017-11-16,position_detail.php?id=32320&keywords=&tid=0&lid=0,深圳,1,产品/项目类,21089-英雄联盟社群运营经理（深圳）
2017-11-16,position_detail.php?id=31645&keywords=&tid=0&lid=0,上海,0,技术类,TEG12-数据中心经理（上海）
2017-11-16,position_detail.php?id=32291&keywords=&tid=0&lid=0,深圳,2,技术类,TEG12-高级运营系统开发工程师（深圳）
2017-11-16,position_detail.php?id=32301&keywords=&tid=0&lid=0,深圳,1,市场类,MIG15-叮当商务拓展总监
2017-11-16,position_detail.php?id=24318&keywords=&tid=0&lid=0,深圳,1,职能类,AQ-司法协作经理
2017-11-15,position_detail.php?id=33531&keywords=&tid=0&lid=0,上海,1,技术类,19157-车联物联安全 - 产品研发工程师（上海）
2017-11-15,position_detail.php?id=34330&keywords=&tid=0&lid=0,上海,1,技术类,20503-移动端测试开发工程师（上海）
2017-11-15,position_detail.php?id=34331&keywords=&tid=0&lid=0,深圳,1,产品/项目类,23874-游戏评测方向游戏策划（深圳）
2017-11-15,position_detail.php?id=34238&keywords=&tid=0&lid=0,深圳,2,市场类,22990-金融云商务拓展经理（深圳）
2017-11-15,position_detail.php?id=34284&keywords=&tid=0&lid=0,上海,1,市场类,22990-企点行业渠道销售经理（上海）
2017-11-15,position_detail.php?id=34327&keywords=&tid=0&lid=0,深圳,2,技术类,15612-火影忍者手游客户端开发工程师（深圳）
2017-11-15,position_detail.php?id=34325&keywords=&tid=0&lid=0,深圳,2,技术类,SNG03-互动视频C++/C后台开发工程师（深圳）
2017-11-15,position_detail.php?id=34322&keywords=&tid=0&lid=0,深圳,2,产品/项目类,MIG10-产品运营（深圳）
2017-11-15,position_detail.php?id=34320&keywords=&tid=0&lid=0,深圳,1,技术类,TEG02-硬件研发质量管理工程师（深圳）
2017-11-15,position_detail.php?id=32871&keywords=&tid=0&lid=0,上海,1,产品/项目类,SNG08-天天P图开放合作策划（上海）
2017-11-15,position_detail.php?id=33963&keywords=&tid=0&lid=0,深圳,2,技术类,SNG08-社交平台iOS开发工程师（深圳）
2017-11-15,position_detail.php?id=34319&keywords=&tid=0&lid=0,北京,2,技术类,OMG148-前端工程师（云南项目）
2017-11-15,position_detail.php?id=29120&keywords=&tid=0&lid=0,深圳,5,产品/项目类,21309-企鹅辅导高级教研经理（深圳）
2017-11-15,position_detail.php?id=33046&keywords=&tid=0&lid=0,深圳,1,产品/项目类,23517-3D换装手游版本管理
2017-11-15,position_detail.php?id=31066&keywords=&tid=0&lid=0,深圳,1,产品/项目类,18402-火影忍者赛事运营（深圳）
2017-11-15,position_detail.php?id=33533&keywords=&tid=0&lid=0,深圳,1,技术类,22989-腾讯云运营产品中心web前端开发工程师（深圳）
2017-11-15,position_detail.php?id=34314&keywords=&tid=0&lid=0,北京,1,产品/项目类,23486-自选股行情产品经理-港美股（北京）
2017-11-15,position_detail.php?id=34316&keywords=&tid=0&lid=0,深圳,1,技术类,HY2-devops开发工程师
2017-11-15,position_detail.php?id=34257&keywords=&tid=0&lid=0,上海,1,设计类,15614-技术美术（上海）
2017-11-15,position_detail.php?id=32126&keywords=&tid=0&lid=0,深圳,1,技术类,14914-数据分析师（深圳）
2017-11-15,position_detail.php?id=34312&keywords=&tid=0&lid=0,广州,2,技术类,WXG01-117 微信Android客户端开发（广州）
2017-11-15,position_detail.php?id=34310&keywords=&tid=0&lid=0,深圳,1,产品/项目类,21309-流量运营管理经理（深圳）
2017-11-15,position_detail.php?id=34308&keywords=&tid=0&lid=0,深圳,3,市场类,22990-腾讯云客户经理（北京/上海/深圳/成都/西安/杭州）
2017-11-15,position_detail.php?id=34306&keywords=&tid=0&lid=0,上海,1,技术类,20503-优图技术实施工程师（上海）
2017-11-15,position_detail.php?id=34304&keywords=&tid=0&lid=0,深圳,3,市场类,22990-腾讯云广电运营商客户经理（北京/上海/深圳/成都）
2017-11-15,position_detail.php?id=34302&keywords=&tid=0&lid=0,北京,2,市场类,22990-腾讯云视频领域商务拓展（北京/上海）
2017-11-15,position_detail.php?id=34299&keywords=&tid=0&lid=0,北京,1,产品/项目类,TEG13-应急统筹项目经理（北京）
2017-11-15,position_detail.php?id=34297&keywords=&tid=0&lid=0,北京,2,技术类,22989-腾讯云医疗行业交付架构师（北京）
2017-11-15,position_detail.php?id=34294&keywords=&tid=0&lid=0,深圳,1,产品/项目类,17520-自研游戏制作人（深圳）
2017-11-15,position_detail.php?id=34290&keywords=&tid=0&lid=0,上海,1,产品/项目类,OMG064-商业产品经理（上海）
2017-11-15,position_detail.php?id=34288&keywords=&tid=0&lid=0,深圳,1,产品/项目类,21228-游戏社区运营（深圳）
2017-11-15,position_detail.php?id=34287&keywords=&tid=0&lid=0,深圳,1,设计类,21062-GUI高级视觉设计师（深圳）
2017-11-15,position_detail.php?id=34283&keywords=&tid=0&lid=0,深圳,1,,14914-整合传播公关经理（深圳）
2017-11-15,position_detail.php?id=34277&keywords=&tid=0&lid=0,深圳,2,产品/项目类,22989-腾讯云社区运营经理（深圳）
2017-11-15,position_detail.php?id=34270&keywords=&tid=0&lid=0,深圳,1,设计类,18428-视觉设计师
2017-11-15,position_detail.php?id=34268&keywords=&tid=0&lid=0,深圳,1,产品/项目类,18428-支付平台产品运营经理
2017-11-15,position_detail.php?id=34264&keywords=&tid=0&lid=0,深圳,1,设计类,20718-交互设计师（深圳）
2017-11-15,position_detail.php?id=30496&keywords=&tid=0&lid=0,杭州,1,技术类,SNG02-QQ物联Android研发工程师（杭州）
2017-11-15,position_detail.php?id=26704&keywords=&tid=0&lid=0,深圳,1,产品/项目类,SNG03-QQ群高级产品经理（深圳）
2017-11-15,position_detail.php?id=28678&keywords=&tid=0&lid=0,深圳,1,技术类,SNG02-音视频高级开发工程师（深圳）
2017-11-15,position_detail.php?id=33092&keywords=&tid=0&lid=0,北京,1,技术类,WXG08-121 微信机器学习算法工程师（北京）
2017-11-15,position_detail.php?id=32006&keywords=&tid=0&lid=0,北京,1,技术类,WXG08-122 微信数据挖掘算法高级工程师（北京）
2017-11-15,position_detail.php?id=32277&keywords=&tid=0&lid=0,深圳,1,市场类,23294-互娱移动游戏渠道营销拓展渠道经理（深圳）
2017-11-15,position_detail.php?id=29905&keywords=&tid=0&lid=0,深圳,1,产品/项目类,18402-移动游戏项目管理
2017-11-15,position_detail.php?id=31062&keywords=&tid=0&lid=0,深圳,2,产品/项目类,23671-商业策略产品经理
2017-11-15,position_detail.php?id=32215&keywords=&tid=0&lid=0,深圳,1,技术类,MIG03-后台开发工程师（深圳）
2017-11-15,position_detail.php?id=31040&keywords=&tid=0&lid=0,北京,2,技术类,22090-天天快报-后台开发工程师（北京）
2017-11-15,position_detail.php?id=31037&keywords=&tid=0&lid=0,北京,1,产品/项目类,22090-天天快报-数据产品组组长（北京）
2017-11-15,position_detail.php?id=32901&keywords=&tid=0&lid=0,北京,1,技术类,23048-浏览器Web高级开发工程师（北京）
2017-11-15,position_detail.php?id=33010&keywords=&tid=0&lid=0,深圳,2,技术类,SNG02-视频云运营开发工程师(深圳)
2017-11-15,position_detail.php?id=31046&keywords=&tid=0&lid=0,北京,1,产品/项目类,23671-资深内容/产品运营经理(北京）
2017-11-15,position_detail.php?id=32270&keywords=&tid=0&lid=0,北京,1,技术类,22086-前端开发（北京）
2017-11-15,position_detail.php?id=28625&keywords=&tid=0&lid=0,上海,2,设计类,15614-slg手游3d场景美术（上海）
